127.0.0.1 - - [11/Jun/2017:23:14:58 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:01 +0800] "GET /Mybatis/ HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/initTalkServlet HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/js/common/jquery-1.8.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/js/common/jquery.mousewheel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/css/jscrollpane1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/js/common/jquery.jscrollpane.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/js/front/talk.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/js/common/scroll-startstop.events.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/images/graybg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/images/add_emoticons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/images/talk_send_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/images/talk_recordtext.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:03 +0800] "GET /Mybatis/resources/images/thumbs/talk_recordbox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:12 +0800] "POST /Mybatis/AutoReplyServlet HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:12 +0800] "GET /Mybatis/resources/images/talk_recordtextme.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:12 +0800] "GET /Mybatis/resources/images/thumbs/talk_recordboxme.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:23 +0800] "POST /Mybatis/AutoReplyServlet HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [11/Jun/2017:23:15:28 +0800] "POST /Mybatis/AutoReplyServlet HTTP/1.1" 200 40
